Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10107","","","None","127.0.0.1","tcp","3128","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

squid/5.6"
"10107","","","None","127.0.0.1","tcp","8834","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

NessusWWW"
"10147","","","None","127.0.0.1","tcp","8834","Nessus Server Detection","A Nessus daemon is listening on the remote port.","A Nessus daemon is listening on the remote port.","Ensure that the remote Nessus installation has been authorized.","https://www.tenable.com/products/nessus/nessus-professional","
  URL     : https://localhost:8834/
  Version : unknown
"
"10180","","","None","127.0.0.1","tcp","0","Ping the remote host","It was possible to identify the status of the remote host (alive or
dead).","Nessus was able to determine if the remote host is alive using one or
more of the following ping types :

  - An ARP ping, provided the host is on the local subnet
    and Nessus is running over Ethernet.

  - An ICMP ping.

  - A TCP ping, in which the plugin sends to the remote host
    a packet with the flag SYN, and the host will reply with
    a RST or a SYN/ACK.

  - A UDP ping (e.g., DNS, RPC, and NTP).","n/a","","The remote host is up
The host is the local scanner."
"10192","","","None","127.0.0.1","tcp","3128","HTTP Proxy CONNECT Request Relaying","An HTTP proxy running on the remote host can be used to establish
interactive sessions.","The proxy allows users to perform CONNECT requests such as :

	CONNECT http://cvs.example.org:23 

This request gives the person who made it the ability to have an
interactive session with a third-party site. 

This issue may allow attackers to bypass your firewall by connecting
to sensitive ports such as 23 (telnet) via the proxy, or it may allow
internal users to bypass the firewall rules and connect to ports or
sites they should not be allowed to. 

In addition, your proxy may be used to perform attacks against other
networks.","Reconfigure your proxy to refuse CONNECT requests.","",""
"10194","","5.0","Medium","127.0.0.1","tcp","3128","HTTP Proxy POST Request Relaying","Interactive sessions can be open through the HTTP proxy.","The proxy allows the users to perform POST requests such as

	POST http://cvs.nessus.org:21

without any Content-length tag.

This request may give an attacker the ability to have an interactive
session.

This problem may allow attackers to go through your firewall, by
connecting to sensitive ports like 23 (telnet) using your proxy, or it
can allow internal users to bypass the firewall rules and connect to
ports they should not be allowed to.

In addition to that, your proxy may be used to perform attacks against
other networks.","Reconfigure your proxy so that only the users of the internal network
can use it, and so that it can not connect to dangerous ports (1-1024).","",""
"10195","","","None","127.0.0.1","tcp","3128","HTTP Proxy Open Relay Detection","The remote web proxy server accepts requests.","The remote web proxy accepts unauthenticated HTTP requests from the
Nessus scanner.  By routing requests through the affected proxy, a user
may be able to gain some degree of anonymity while browsing websites,
which will see requests as originating from the remote host itself
rather than the user's host.","Make sure access to the proxy is limited to valid users / hosts.","",""
"10267","","","None","127.0.0.1","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_9.0p1 Debian-1+b1
SSH supported authentication : publickey
"
"10342","","","None","127.0.0.1","tcp","5901","VNC Software Detection","The remote host is running a remote display software (VNC).","The remote host is running VNC (Virtual Network Computing), which uses
the RFB (Remote Framebuffer) protocol to provide remote access to
graphical user interfaces and thus permits a console on the remote
host to be displayed on another.","Make sure use of this software is done in accordance with your
organization's security policy and filter incoming traffic to this
port.","https://en.wikipedia.org/wiki/Vnc","
The highest RFB protocol version supported by the server is :

  3.8
"
"10863","","","None","127.0.0.1","tcp","5432","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: postgresql

Issuer Name: 

Common Name: postgresql

Serial Number: 5A 03 FC 0A 57 9E 3D 79 10 AE FB B9 64 B8 49 37 D3 64 20 00 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Oct 02 16:27:39 2022 GMT
Not Valid After: Sep 29 16:27:39 2032 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 4096 bits
Public Key: 00 BB 43 C8 FC 84 5E 23 E5 1D 6A 90 94 09 D9 CF DF B1 8C 2C 
            41 82 0C AB 82 B4 71 84 34 7E 00 1A 31 EB 8D 2E 6C 31 4A AF 
            ED 23 20 FC BE 0F FD E8 9F FD 19 A0 C6 DD 02 0E A9 A0 37 C6 
            40 26 97 AF 61 2A BE 67 F1 66 8B 12 96 44 C0 85 94 CB 18 92 
            00 7A 4E 87 53 F5 E3 4D 2A 69 49 5B 4A AC C3 F7 38 D0 31 92 
            6D AF 01 7F ED A2 DB FE 7E 28 CE B4 12 5A 9A C9 B9 1B AF 8D 
            3F 41 C4 9E 88 11 20 19 29 5D 2D CC 6C 6F E2 A5 65 74 A0 47 
            F4 97 AC 87 5D 2C 64 7A 6F 4C 7A 5B 13 9E FE 5B 46 EF 2D FA 
            EF 66 FF 12 B2 D2 9A BC FD 93 34 0F 30 AF 4A 29 32 7F 46 A5 
            95 D4 5B B9 50 71 D0 D8 99 E1 D3 EF 34 9F 34 2D 73 DC 86 52 
            55 7A 40 83 3E 17 73 3C 20 EF 45 81 79 FF 49 97 EF 7A 7D E8 
            2A 11 48 E6 BC 42 CF 1A 07 4C 27 0A B0 D0 BF 98 7A F9 F9 11 
            BF 26 12 D3 95 C7 0D 35 B1 D7 01 08 88 31 9B E8 13 94 29 E4 
            67 C5 E6 C6 06 BE F5 D9 FA 51 D8 F0 75 A0 3B 66 F4 2B 9E A8 
            B7 29 E7 A3 0C 38 DD 65 99 4D 8E 61 61 FF 42 5B 71 22 9F E6 
            09 DB 88 31 87 49 66 08 85 6C E4 03 E3 A4 8F 6D 8D 4D F1 3B 
            AC CF C1 B9 D4 B6 A0 E5 A6 6F 00 90 94 82 B7 5A C5 DE 9C 22 
            81 1B 7B D9 BF 76 46 3C 3A D8 0A 41 58 8B 74 18 FF CC D2 0A 
            2E E4 B0 F0 3B 91 75 3A 20 17 6A E5 75 EE 65 B5 09 7A CF 87 
            B5 68 35 1F 2F B3 97 9C 91 F4 72 94 F7 76 4E 75 16 5F 3A 74 
            01 37 6B 56 31 70 85 E1 7D CF 83 4B 9F C7 58 D3 FC 6C 8D CA 
            A1 D0 F3 64 30 63 FD E6 9B D3 D7 35 4F 24 7E 40 37 8C D9 9E 
            C5 65 45 CF 96 C8 4C FA 43 87 0A C2 DE DB A8 DC 6D 58 6D A4 
            D6 F4 04 D2 72 F2 EF AA F7 6B 5A C1 E6 70 38 DF F7 D7 1C 72 
            D0 61 78 96 9C 5D 6F 1E 87 97 77 17 6B 68 0F FD 24 76 67 D4 
            10 0C 59 BC F2 35 96 2C 17 48 36 FA D9 
Exponent: 01 00 01 

Signature Length: 512 bytes / 4096 bits
Signature: 00 7F 97 E8 02 5D E0 8B C9 48 B3 0B F5 3A 89 55 10 EC 95 6B 
           7C 4D 42 00 D9 AA 69 D0 4A CC FE 00 13 21 FA 80 1A 21 35 64 
           7B E3 80 2A 46 D6 06 4D BD 55 AD 65 0E 23 6C 50 E0 DB CF 6C 
           3F F4 CE 82 EB 49 66 21 CF 8B 9B E0 08 2E AD 45 5F 81 62 32 
           C3 6D 40 99 2B 6C D2 FA 09 04 AC 58 29 E3 AE A9 5E CB 31 DF 
           33 74 D1 16 33 71 94 BE 3D 8E 0E 73 82 C2 30 74 36 43 7E B8 
           47 26 F9 56 E9 39 DB 23 EF 2D 88 B5 41 6D 24 FE EC 8D 11 73 
           EA 16 84 6D C5 AE 3F 4A CD CE A3 34 5B DA F0 5D 1B 53 6D BD 
           61 61 7B F7 14 2E 02 DB 64 48 0C 1D 5D AF F2 B3 AF 1F 09 E6 
           02 40 EF 00 A1 A5 39 6C 5F E2 22 54 21 09 BE E9 AA B1 36 DF 
           D5 04 A9 CC A6 F1 AB 89 A6 77 F4 94 6B A3 1E 97 60 36 89 2D 
           BF 38 73 51 D7 71 92 BB 8C 0D 60 DA 08 E4 64 38 9C 0B 12 27 
           87 07 EC 37 8E AF 02 50 59 3E 3F AD 0E D4 79 D3 CF 5C 15 76 
           30 4B A8 45 C0 D7 9C AB 4C B6 F1 F8 23 9E 67 F1 8F E8 7B 3C 
           58 BD 83 AC 9D D3 61 CB 87 03 37 CC 36 5E AD CB CE 8C 4F 96 
           78 61 78 7E E2 45 22 25 7D 8C 3E 1D 0F 9E 7A 4D B6 9F 19 77 
           EC AB BA EC 0B 0E B2 78 AC 30 D8 47 1E 54 64 B1 A5 2F 33 37 
           ED C2 45 A2 98 88 D6 F4 AD 71 FA C6 E2 D0 1F C0 C6 E2 7D 0F 
           21 72 FC D6 C7 C5 BC 61 4C FC D4 D1 93 DA 77 3D D8 FD E6 07 
           AE 27 92 FB 2A 90 3F E9 EC 4F 43 36 DB 54 8C 9A 83 8F F3 43 
           CD A8 C6 BF 09 E0 B9 48 58 84 76 57 B1 1F AF 05 62 22 B1 7C 
           F6 83 56 C9 68 04 48 E2 60 25 42 E2 19 9F FD 55 E0 71 EE 72 
           FA FE 2A D7 C8 83 4F 9E 06 D3 2A 10 D4 DE 9F 5D 28 C7 9F 2F 
           90 5F 8E 9D 24 4A A8 1D 2E 44 8A BC B5 79 59 CE 8A CC 16 7B 
           E7 79 47 EB 5D 5C 94 19 25 C8 77 29 59 15 CD F2 9E 22 F9 A8 
           1C 0C 85 13 49 CD 08 B8 3D F6 4C AE DA 

Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: postgresql


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 02 5E 78 9D 31 45 44 88 9E 85 43 AB 3E 06 CE 9D 3C 3D 94 DA 


Fingerprints : 

SHA-256 Fingerprint: B3 75 28 EA 3A E8 1B 2C EA AD A4 98 81 51 1A 56 47 9F 8D B9 
                     46 A7 37 5C F8 95 F6 0B 00 33 4D 89 
SHA-1 Fingerprint: C3 BB 86 49 E0 89 7B DA E0 96 16 E3 BF 2F 0C B3 2C B5 CB 2E 
MD5 Fingerprint: F6 C9 9E A7 CF 39 EE ED BE 19 A9 CF 4E 80 CE 17 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIE8DCCAtigAwIBAgIUWgP8CleePXkQrvu5ZLhJN9NkIAAwDQYJKoZIhvcNAQELBQAwFTETMBEGA1UEAwwKcG9zdGdyZXNxbDAeFw0yMjEwMDIxNjI3MzlaFw0zMjA5MjkxNjI3MzlaMBUxEzARBgNVBAMMCnBvc3RncmVzcWwwggIiMA0GCSqGSIb3DQEBAQUAA4ICDwAwggIKAoICAQC7Q8j8hF4j5R1qkJQJ2c/fsYwsQYIMq4K0cYQ0fgAaMeuNLmwxSq/tIyD8vg/96J/9GaDG3QIOqaA3xkAml69hKr5n8WaLEpZEwIWUyxiSAHpOh1P1400qaUlbSqzD9zjQMZJtrwF/7aLb/n4ozrQSWprJuRuvjT9BxJ6IESAZKV0tzGxv4qVldKBH9Jesh10sZHpvTHpbE57+W0bvLfrvZv8SstKavP2TNA8wr0opMn9GpZXUW7lQcdDYmeHT7zSfNC1z3IZSVXpAgz4Xczwg70WBef9Jl+96fegqEUjmvELPGgdMJwqw0L+Yevn5Eb8mEtOVxw01sdcBCIgxm+gTlCnkZ8Xmxga+9dn6UdjwdaA7ZvQrnqi3KeejDDjdZZlNjmFh/0JbcSKf5gnbiDGHSWYIhWzkA+Okj22NTfE7rM/BudS2oOWmbwCQlIK3WsXenCKBG3vZv3ZGPDrYCkFYi3QY/8zSCi7ksPA7kXU6IBdq5XXuZbUJes+HtWg1Hy+zl5yR9HKU93ZOdRZfOnQBN2tWMXCF4X3Pg0ufx1jT/GyNyqHQ82QwY/3mm9PXNU8kfkA3jNmexWVFz5bITPpDhwrC3tuo3G1YbaTW9ATScvLvqvdrWsHmcDjf99ccctBheJacXW8eh5d3F2toD/0kdmfUEAxZvPI1liwXSDb62QIDAQABozgwNjAVBgNVHREEDjAMggpwb3N0Z3Jlc3FsMB0GA1UdDgQWBBQCXnidMUVEiJ6FQ6s+Bs6dPD2U2jANBgkqhkiG9w0BAQsFAAOCAgEAf5foAl3gi8lIswv1OolVEOyVa3xNQgDZqmnQSsz+ABMh+oAaITVke+OAKkbWBk29Va1lDiNsUODbz2w/9M6C60lmIc+Lm+AILq1FX4FiMsNtQJkrbNL6CQSsWCnjrqleyzHfM3TRFjNxlL49jg5zgsIwdDZDfrhHJvlW6TnbI+8tiLVBbST+7I0Rc+oWhG3Frj9Kzc6jNFva8F0bU229YWF79xQuAttkSAwdXa/ys68fCeYCQO8AoaU5bF/iIlQhCb7pqrE239UEqcym8auJpnf0lGujHpdgNoktvzhzUddxkruMDWDaCORkOJwLEieHB+w3jq8CUFk+P60O1HnTz1wVdjBLqEXA15yrTLbx+COeZ/GP6Hs8WL2DrJ3TYcuHAzfMNl6ty86MT5Z4YXh+4kUiJX2MPh0PnnpNtp8Zd+yruuwLDrJ4rDDYRx5UZLGlLzM37cJFopiI1vStcfrG4tAfwMbifQ8hcvzWx8W8YUz81NGT2nc92P3mB64nkvsqkD/p7E9DNttUjJqDj/NDzajGvwnguUhYhHZXsR+vBWIisXz2g1bJaARI4mAlQuIZn/1V4HHucvr+KtfIg0+eBtMqENTen10ox58vkF+OnSRKqB0uRIq8tXlZzorMFnvneUfrXVyUGSXIdylZFc3yniL5qBwMhRNJzQi4PfZMrto=
-----END CERTIFICATE-----"
